타임스탬프,어떤 스마트 패션(웨어러블 기기)를 사용하시나요?,"스마트 패션으로 신체 데이터(건강 지표, 수면 상태, 심박수 등)를 수집하는 것에 대해 어떻게 생각하시나요?",웨어러블 기기를 (새롭게 혹은 추가로) 구매하지 않는 이유는 무엇인가요?,"다음 사진은 애플 사가 개발하고 있는 것으로 알려진 MR글래스와 스마트 반지입니다.
미래에 이와 같은 스마트 패션을 구매할 의향이 있으신가요?"
2023. 4. 18 오후 3:27:13,무선 이어폰/헤드셋,5,가격이 높음,5
2023. 4. 18 오후 5:14:00,무선 이어폰/헤드셋,4,가격이 높음,3
2023. 4. 18 오후 5:15:25,무선 이어폰/헤드셋,3,가격이 높음,1
2023. 4. 18 오후 5:15:31,무선 이어폰/헤드셋,5,"가격이 높음, 필요성이 떨어짐, 착용 시 불편함을 느낌",2
2023. 4. 18 오후 5:17:23,무선 이어폰/헤드셋,1,가격이 높음,5
2023. 4. 18 오후 5:17:48,무선 이어폰/헤드셋,5,가격이 높음,3
2023. 4. 18 오후 5:18:07,무선 이어폰/헤드셋,5,가격이 높음,1
2023. 4. 18 오후 5:18:17,무선 이어폰/헤드셋,5,가격이 높음,3
2023. 4. 18 오후 5:19:38,무선 이어폰/헤드셋,5,가격이 높음,1
2023. 4. 18 오후 5:20:37,"무선 이어폰/헤드셋, 스마트 워치",4,가격이 높음,4
2023. 4. 18 오후 5:24:01,무선 이어폰/헤드셋,5,가격이 높음,1
2023. 4. 18 오후 5:24:36,무선 이어폰/헤드셋,5,가격이 높음,4
2023. 4. 18 오후 5:29:49,"무선 이어폰/헤드셋, 스마트 워치",5,관심이 없음,2
2023. 4. 18 오후 5:30:00,무선 이어폰/헤드셋,4,가격이 높음,3
2023. 4. 18 오후 5:32:32,"무선 이어폰/헤드셋, 스마트 워치",5,가격이 높음,2
2023. 4. 18 오후 5:35:17,무선 이어폰/헤드셋,5,가격이 높음,3
2023. 4. 18 오후 5:35:33,무선 이어폰/헤드셋,3,가격이 높음,3
2023. 4. 18 오후 5:35:46,무선 이어폰/헤드셋,4,관심이 없음,5
2023. 4. 18 오후 5:37:01,무선 이어폰/헤드셋,5,"가격이 높음, 착용 시 불편함을 느낌",1
2023. 4. 18 오후 5:37:21,무선 이어폰/헤드셋,5,"가격이 높음, 디자인이 불만족스러움, 필요성이 떨어짐",1
2023. 4. 18 오후 5:38:12,"무선 이어폰/헤드셋, 스마트 워치",5,관심이 없음,4
2023. 4. 18 오후 5:38:48,무선 이어폰/헤드셋,5,가격이 높음,4
2023. 4. 18 오후 5:39:04,무선 이어폰/헤드셋,4,가격이 높음,2
2023. 4. 18 오후 5:41:34,"무선 이어폰/헤드셋, 스마트 워치",5,가격이 높음,5
2023. 4. 18 오후 5:43:04,무선 이어폰/헤드셋,5,가격이 높음,1
2023. 4. 18 오후 5:43:45,무선 이어폰/헤드셋,4,가격이 높음,4
2023. 4. 18 오후 5:44:27,무선 이어폰/헤드셋,3,"가격이 높음, 필요성이 떨어짐, 관심이 없음, 전자파가 우려됨",1
2023. 4. 18 오후 5:46:29,무선 이어폰/헤드셋,4,디자인이 불만족스러움,1
2023. 4. 18 오후 5:49:18,무선 이어폰/헤드셋,5,"가격이 높음, 필요성이 떨어짐",2
2023. 4. 18 오후 5:51:23,무선 이어폰/헤드셋,5,가격이 높음,2
2023. 4. 18 오후 5:54:38,무선 이어폰/헤드셋,4,가격이 높음,2
2023. 4. 18 오후 5:56:36,"무선 이어폰/헤드셋, 스마트 워치",5,가격이 높음,4
2023. 4. 18 오후 5:56:36,무선 이어폰/헤드셋,5,필요성이 떨어짐,1
2023. 4. 18 오후 5:57:34,무선 이어폰/헤드셋,3,필요성이 떨어짐,1
2023. 4. 18 오후 5:57:37,무선 이어폰/헤드셋,4,가격이 높음,1
2023. 4. 18 오후 6:03:35,무선 이어폰/헤드셋,3,가격이 높음,1
2023. 4. 18 오후 6:04:20,웨어러블 기기를 사용하지 않음,5,가격이 높음,3
2023. 4. 18 오후 6:04:34,"무선 이어폰/헤드셋, 스마트 워치",5,이미 보유 중임 ,1
2023. 4. 18 오후 6:05:03,무선 이어폰/헤드셋,4,필요성이 떨어짐,1
2023. 4. 18 오후 6:06:01,"무선 이어폰/헤드셋, 스마트 워치",4,가격이 높음,3
2023. 4. 18 오후 6:11:20,무선 이어폰/헤드셋,5,가격이 높음,4
2023. 4. 18 오후 6:15:23,무선 이어폰/헤드셋,4,관심이 없음,1
2023. 4. 18 오후 6:26:58,무선 이어폰/헤드셋,4,"가격이 높음, 필요성이 떨어짐, 관심이 없음",3
2023. 4. 18 오후 6:26:59,무선 이어폰/헤드셋,4,"가격이 높음, 필요성이 떨어짐",2
2023. 4. 18 오후 6:34:39,무선 이어폰/헤드셋,3,필요성이 떨어짐,2
2023. 4. 18 오후 6:36:59,무선 이어폰/헤드셋,5,가격이 높음,4
2023. 4. 18 오후 6:38:43,"무선 이어폰/헤드셋, 스마트 워치",5,필요성이 떨어짐,2
2023. 4. 18 오후 6:51:07,무선 이어폰/헤드셋,4,"가격이 높음, 필요성이 떨어짐",3
2023. 4. 18 오후 7:38:31,웨어러블 기기를 사용하지 않음,4,"가격이 높음, 필요성이 떨어짐",2
2023. 4. 18 오후 7:54:48,무선 이어폰/헤드셋,5,가격이 높음,1
2023. 4. 18 오후 9:09:17,무선 이어폰/헤드셋,5,"필요성이 떨어짐, 관심이 없음",5
2023. 4. 18 오후 9:11:29,무선 이어폰/헤드셋,4,가격이 높음,2
2023. 4. 18 오후 9:14:52,웨어러블 기기를 사용하지 않음,2,"가격이 높음, 필요성이 떨어짐, 관심이 없음",4
2023. 4. 18 오후 9:17:22,"무선 이어폰/헤드셋, 스마트 워치",5,자주 구매함 ㅎㅎ,1
2023. 4. 18 오후 9:31:20,무선 이어폰/헤드셋,4,"가격이 높음, 관심이 없음",1
2023. 4. 18 오후 10:24:54,웨어러블 기기를 사용하지 않음,5,가격이 높음,1
2023. 4. 18 오후 11:36:28,웨어러블 기기를 사용하지 않음,4,관심이 없음,2
2023. 4. 18 오후 11:48:57,"무선 이어폰/헤드셋, 스마트 워치",4,가격이 높음,5
2023. 4. 19 오전 1:31:16,무선 이어폰/헤드셋,5,가격이 높음,4
2023. 4. 19 오전 6:56:09,"무선 이어폰/헤드셋, 스마트 워치",4,가격이 높음,3
2023. 4. 19 오전 7:17:59,무선 이어폰/헤드셋,4,가격이 높음,2
2023. 4. 19 오전 7:19:47,무선 이어폰/헤드셋,5,가격이 높음,2
2023. 4. 19 오전 8:04:10,무선 이어폰/헤드셋,4,"가격이 높음, 필요성이 떨어짐",2
2023. 4. 19 오전 8:06:28,무선 이어폰/헤드셋,4,가격이 높음,1
2023. 4. 19 오전 8:08:09,무선 이어폰/헤드셋,3,"가격이 높음, 필요성이 떨어짐",4
2023. 4. 19 오전 9:45:50,무선 이어폰/헤드셋,2,"가격이 높음, 필요성이 떨어짐, 착용 시 불편함을 느낌",4
2023. 4. 19 오전 11:23:56,웨어러블 기기를 사용하지 않음,4,가격이 높음,1
2023. 4. 19 오전 11:57:09,무선 이어폰/헤드셋,4,가격이 높음,3
2023. 4. 19 오후 12:28:04,무선 이어폰/헤드셋,5,가격이 높음,1
2023. 4. 19 오후 2:32:23,웨어러블 기기를 사용하지 않음,4,착용 시 불편함을 느낌,1
2023. 4. 19 오후 3:26:31,무선 이어폰/헤드셋,5,"가격이 높음, 필요성이 떨어짐",3
2023. 4. 19 오후 3:39:56,무선 이어폰/헤드셋,4,가격이 높음,3